date,state,positiveIncrease,totalTestResultsIncrease,pos_inc_sum,tot_inc_sum,Positivity Rate (7-day MA),Positivity Rate (1-day)
2020-03-04,TX,0,0,,,,
2020-03-05,TX,0,0,,,,
2020-03-06,TX,4,4,,,,100.0
2020-03-07,TX,3,3,,,,100.0
2020-03-08,TX,0,0,,,,
2020-03-09,TX,4,4,,,,100.0
2020-03-10,TX,1,1,12.0,12.0,100.0,100.0
2020-03-11,TX,8,8,20.0,20.0,100.0,100.0
2020-03-12,TX,2,2,22.0,22.0,100.0,100.0
2020-03-13,TX,16,16,34.0,34.0,100.0,100.0
2020-03-14,TX,12,12,43.0,43.0,100.0,100.0
2020-03-15,TX,5,5,48.0,48.0,100.0,100.0
2020-03-16,TX,1,1,45.0,45.0,100.0,100.0
2020-03-17,TX,7,1211,51.0,1255.0,4.06,0.58
2020-03-18,TX,19,639,62.0,1886.0,3.29,2.97
2020-03-19,TX,60,448,120.0,2332.0,5.15,13.39
2020-03-20,TX,51,2922,155.0,5238.0,2.96,1.75
2020-03-21,TX,110,1245,253.0,6471.0,3.91,8.84
2020-03-22,TX,30,2234,278.0,8700.0,3.2,1.34
2020-03-23,TX,18,1299,295.0,9998.0,2.95,1.39
2020-03-24,TX,58,1112,346.0,9899.0,3.5,5.22
2020-03-25,TX,564,2327,891.0,11587.0,7.69,24.24
2020-03-26,TX,422,7930,1253.0,19069.0,6.57,5.32
2020-03-27,TX,335,2242,1537.0,18389.0,8.36,14.94
2020-03-28,TX,321,1594,1748.0,18738.0,9.33,20.14
2020-03-29,TX,500,500,2218.0,17004.0,13.04,100.0
2020-03-30,TX,325,10120,2525.0,25825.0,9.78,3.21
2020-03-31,TX,389,7112,2856.0,31825.0,8.97,5.47
2020-04-01,TX,731,4865,3023.0,34363.0,8.8,15.03
2020-04-02,TX,672,2822,3273.0,29255.0,11.19,23.81
2020-04-03,TX,661,5085,3599.0,32098.0,11.21,13.0
2020-04-04,TX,780,7987,4058.0,38491.0,10.54,9.77
2020-04-05,TX,702,7187,4260.0,45178.0,9.43,9.77
2020-04-06,TX,464,14419,4399.0,49477.0,8.89,3.22
2020-04-07,TX,986,3292,4996.0,45657.0,10.94,29.95
2020-04-08,TX,1091,7609,5356.0,48401.0,11.07,14.34
2020-04-09,TX,877,9876,5561.0,55455.0,10.03,8.88
2020-04-10,TX,1441,9584,6341.0,59954.0,10.58,15.04
2020-04-11,TX,890,4815,6451.0,56782.0,11.36,18.48
2020-04-12,TX,923,4000,6672.0,53595.0,12.45,23.08
2020-04-13,TX,422,8693,6630.0,47869.0,13.85,4.85
2020-04-14,TX,718,13241,6362.0,57818.0,11.0,5.42
2020-04-15,TX,868,5343,6139.0,55552.0,11.05,16.25
2020-04-16,TX,963,6737,6225.0,52413.0,11.88,14.29
2020-04-17,TX,916,10989,5700.0,53818.0,10.59,8.34
2020-04-18,TX,889,6703,5699.0,55706.0,10.23,13.26
2020-04-19,TX,663,6471,5439.0,58177.0,9.35,10.25
2020-04-20,TX,535,7684,5552.0,57168.0,9.71,6.96
2020-04-21,TX,738,15005,5572.0,58932.0,9.45,4.92
2020-04-22,TX,873,11384,5577.0,64973.0,8.58,7.67
2020-04-23,TX,875,8295,5489.0,66531.0,8.25,10.55
2020-04-24,TX,862,17469,5435.0,73011.0,7.44,4.93
2020-04-25,TX,967,20269,5513.0,86577.0,6.37,4.77
2020-04-26,TX,858,13205,5708.0,93311.0,6.12,6.5
2020-04-27,TX,666,14496,5839.0,100123.0,5.83,4.59
2020-04-28,TX,874,9867,5975.0,94985.0,6.29,8.86
2020-04-29,TX,883,14406,5985.0,98007.0,6.11,6.13
2020-04-30,TX,1033,15510,6143.0,105222.0,5.84,6.66
2020-05-01,TX,1142,21475,6423.0,109228.0,5.88,5.32
2020-05-02,TX,1293,28873,6749.0,117832.0,5.73,4.48
2020-05-03,TX,1026,9912,6917.0,114539.0,6.04,10.35
2020-05-04,TX,784,16838,7035.0,116881.0,6.02,4.66
2020-05-05,TX,1037,19812,7198.0,126826.0,5.68,5.23
2020-05-06,TX,1053,11728,7368.0,124148.0,5.93,8.98
2020-05-07,TX,968,16224,7303.0,124862.0,5.85,5.97
2020-05-08,TX,1219,21956,7380.0,125343.0,5.89,5.55
2020-05-09,TX,1251,12176,7338.0,108646.0,6.75,10.27
2020-05-10,TX,1009,12482,7321.0,111216.0,6.58,8.08
2020-05-11,TX,1000,23921,7537.0,118299.0,6.37,4.18
2020-05-12,TX,1179,12475,7679.0,110962.0,6.92,9.45
2020-05-13,TX,1355,18604,7981.0,117838.0,6.77,7.28
2020-05-14,TX,1448,30537,8461.0,132151.0,6.4,4.74
2020-05-15,TX,1347,22317,8589.0,132512.0,6.48,6.04
2020-05-16,TX,1801,29109,9139.0,149445.0,6.12,6.19
2020-05-17,TX,785,11616,8915.0,148579.0,6.0,6.76
2020-05-18,TX,909,29490,8824.0,154148.0,5.72,3.08
2020-05-19,TX,1219,20301,8864.0,161974.0,5.47,6.0
2020-05-20,TX,1411,20782,8920.0,164152.0,5.43,6.79
