,date,state,positiveIncrease,totalTestResultsIncrease,pos_inc_sum,tot_inc_sum,Positivity Rate (7-day MA),Positivity Rate (1-day)
0,2020-03-04,CA,0,0,,,,
1,2020-03-05,CA,0,0,,,,
2,2020-03-06,CA,7,7,,,,100.0
3,2020-03-07,CA,9,9,,,,100.0
4,2020-03-08,CA,19,19,,,,100.0
5,2020-03-09,CA,26,254,,,,10.24
6,2020-03-10,CA,19,19,80.0,308.0,25.97,100.0
7,2020-03-11,CA,24,250,104.0,558.0,18.64,9.6
8,2020-03-12,CA,45,45,149.0,603.0,24.71,100.0
9,2020-03-13,CA,0,0,142.0,596.0,23.83,
10,2020-03-14,CA,50,50,183.0,637.0,28.73,100.0
11,2020-03-15,CA,41,41,205.0,659.0,31.11,100.0
12,2020-03-16,CA,42,7107,221.0,7512.0,2.94,0.59
13,2020-03-17,CA,148,148,350.0,7641.0,4.58,100.0
14,2020-03-18,CA,128,128,454.0,7519.0,6.04,100.0
15,2020-03-19,CA,313,1119,722.0,8593.0,8.4,27.97
16,2020-03-20,CA,139,1776,861.0,10369.0,8.3,7.83
17,2020-03-21,CA,216,1041,1027.0,11360.0,9.04,20.75
18,2020-03-22,CA,257,312,1243.0,11631.0,10.69,82.37
19,2020-03-23,CA,197,1460,1398.0,5984.0,23.36,13.49
20,2020-03-24,CA,369,1254,1619.0,7090.0,22.83,29.43
21,2020-03-25,CA,253,2722,1744.0,9684.0,18.01,9.29
22,2020-03-26,CA,651,2110,2082.0,10675.0,19.5,30.85
23,2020-03-27,CA,873,873,2816.0,9772.0,28.82,100.0
24,2020-03-28,CA,764,3933,3364.0,12664.0,26.56,19.43
25,2020-03-29,CA,1065,1065,4172.0,13417.0,31.09,100.0
26,2020-03-30,CA,739,739,4714.0,12696.0,37.13,100.0
27,2020-03-31,CA,1035,2258,5380.0,13700.0,39.27,45.84
28,2020-04-01,CA,673,673,5800.0,11651.0,49.78,100.0
29,2020-04-02,CA,1036,3073,6185.0,12614.0,49.03,33.71
30,2020-04-03,CA,1510,2300,6822.0,14041.0,48.59,65.65
31,2020-04-04,CA,1325,78400,7383.0,88508.0,8.34,1.69
32,2020-04-05,CA,1412,2833,7730.0,90276.0,8.56,49.84
33,2020-04-06,CA,898,898,7889.0,90435.0,8.72,100.0
34,2020-04-07,CA,1529,13798,8383.0,101975.0,8.22,11.08
35,2020-04-08,CA,1092,13035,8802.0,114337.0,7.7,8.38
36,2020-04-09,CA,1352,19236,9118.0,130500.0,6.99,7.03
